id,type,properties,mentions,article_id,text
location:24_sussex_drive,Location,"{'name': '24 Sussex Drive', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'city', 'role_in_solar_energy_space': None}","['24 Sussex Drive', ""the prime minister's official residence"", 'the official residence of the prime minister']",article_id,Location 24 Sussex Drive 24 Sussex Drive the prime minister's official residence the official residence of the prime minister city
organization:sierra_club_canada,Organization,"{'name': 'Sierra Club Canada', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'nonprofit', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Sierra Club Canada', 'Sierra Club Canada Foundation', 'Sierra Club']",article_id,Organization Sierra Club Canada Sierra Club Canada Sierra Club Canada Foundation Sierra Club nonprofit
organization:envirocentre,Organization,"{'name': 'EnviroCentre', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'nonprofit', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['EnviroCentre'],article_id,Organization EnviroCentre EnviroCentre nonprofit
governmentagency:national_capital_commission,GovernmentAgency,"{'name': 'National Capital Commission', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': 'federal', 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['National Capital Commission', 'NCC']",article_id,GovernmentAgency National Capital Commission National Capital Commission NCC federal
technology:solar_collectors,Technology,"{'name': 'solar collectors', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['solar collectors'],article_id,Technology solar collectors solar collectors
technology:geothermal_system,Technology,"{'name': 'geothermal system', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['geothermal', 'geothermal system']",article_id,Technology geothermal system geothermal geothermal system
company:tesla_motors,Company,"{'name': 'Tesla Motors', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Tesla Motors', 'Tesla']",article_id,Company Tesla Motors Tesla Motors Tesla
technology:powerwall,Technology,"{'name': 'Powerwall', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Powerwall', 'battery']",article_id,Technology Powerwall Powerwall battery
company:solarcity,Company,"{'name': 'SolarCity', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['SolarCity'],article_id,Company SolarCity SolarCity
person:elon_musk,Person,"{'name': 'Elon Musk', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Elon Musk', 'Musk']",article_id,Person Elon Musk Elon Musk Musk
organization:california_public_utilities_commission,Organization,"{'name': 'California Public Utilities Commission', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'government', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['California Public Utilities Commission'],article_id,Organization California Public Utilities Commission California Public Utilities Commission government
company:amazon,Company,"{'name': 'Amazon.com', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Amazon.com'],article_id,Company Amazon.com Amazon.com
company:target,Company,"{'name': 'Target', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Target'],article_id,Company Target Target
company:southern_california_edison,Company,"{'name': 'Southern California Edison', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Southern California Edison'],article_id,Company Southern California Edison Southern California Edison
project:grassi_house,Project,"{'name': 'Grassi House', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '10.9-kilowatt-hour', 'location': 'midcoast Maine', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['house', 'Grassi House']",article_id,Project Grassi House house Grassi House 10.9-kilowatt-hour midcoast Maine
technology:solar_panels,Technology,"{'name': 'solar panels', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['photovoltaics', 'solar panels']",article_id,Technology solar panels photovoltaics solar panels
location:midcoast_maine,Location,"{'name': 'midcoast Maine', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'region', 'role_in_solar_energy_space': None}",['midcoast Maine'],article_id,Location midcoast Maine midcoast Maine region
company:mosaic,Company,"{'name': 'Mosaic', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Mosaic'],article_id,Company Mosaic Mosaic
project:joint_base_mcguire_dix_lakehurst,Project,"{'name': 'Joint Base McGuire-Dix-Lakehurst', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '12.3 megawatt', 'location': 'Joint Base McGuire-Dix-Lakehurst, N.J.', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Joint Base McGuire-Dix-Lakehurst'],article_id,"Project Joint Base McGuire-Dix-Lakehurst Joint Base McGuire-Dix-Lakehurst 12.3 megawatt Joint Base McGuire-Dix-Lakehurst, N.J."
project:wildwood_convention_center,Project,"{'name': 'Wildwood Convention Center', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '487 kilowatt', 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Wildwood Convention Center'],article_id,Project Wildwood Convention Center Wildwood Convention Center 487 kilowatt
