Count	Phrase
208	total solar eclipse
133	partial solar eclipse
132	solar dynamics observatory
117	outer solar system
111	rooftop solar panels
109	inner solar system
100	world solar challenge
90	solar energy industries
88	install solar panels
87	installing solar panels
84	solar panel maker
77	solar energy company
76	solar power plant
58	solar power plants
57	nasa's solar dynamics
54	early solar system
53	solar system formed
48	solar panel company
47	solar panels installed
47	sources like solar
47	annular solar eclipse
46	first solar fslr
45	solar energy systems
43	installed solar panels
41	solar panel makers
40	chinese solar panel
40	solar energy industry
40	put solar panels
39	solar system said
38	like solar panels
38	solar power systems
36	solar panel manufacturers
36	solar panel manufacturer
34	rooftop solar systems
33	solar power company
32	world solar challange
31	chinese solar panels
31	solar eclipse swept
29	solar power system
29	solar system including
29	rare solar eclipse
28	solar hot water
26	solar thermal power
26	solar company solyndra
26	using solar power
26	solar water heaters
25	solar panel industry
25	solar panel owners
25	make solar panels
25	solar power industry
25	concentrating solar power
25	entire solar system
24	rooftop solar installations
24	solar panel installer
24	first solar inc
24	use solar power
24	fire solar eclipse
24	solar impulse team
23	solar installer solarcity
22	chinese solar companies
22	solar panel installation
22	solar system would
21	solar panels could
21	solar system nasa
21	solar fslr news
20	solar power projects
20	solar power could
20	making solar panels
20	installed solar capacity
20	world's largest solar
20	putting solar panels
20	concentrated solar power
20	use solar energy
19	solar panel manufacturing
19	photovoltaic solar panels
19	solar energy projects
19	massive solar flare
19	solar panel prices
19	energy like solar
19	like solar power
19	solar wind geothermal
19	class solar flare
18	solar energy research
18	solar system may
18	solar panel systems
18	buy solar power
18	solar energy companies
18	sell solar panels
18	year solar cycle
18	solar system exploration
18	whole solar system
18	hybrid solar eclipse
18	related solar impulse
18	solar panels wind
17	using solar energy
17	largest solar power
17	new solar panels
17	solar power tower
17	solar system scientists
17	american solar panel
17	solar panels would
17	like wind solar
16	total solar eclipses
16	thin-film solar panels
16	using solar panels
16	california solar company
16	like solar wind
16	another solar system
16	solar power generation
16	solar impulse chairman
16	solar impulse plane
16	solar storm could
16	rooftop solar industry
16	strong solar storm
16	solar system since
16	solar system research
16	sell sunpower's solar
16	sunpower's solar panels
16	solar panels ceo
16	newest solar panel
16	solar panel retailers
15	like first solar
15	solar power would
15	solar panel farms
15	solar cell maker
15	residential solar panels
15	solar panel factory
15	billion solar panels
15	solar tax credits
15	new solar power
15	use solar panels
