Count	Phrase
2221	the solar system
1137	of the solar
992	our solar system
935	wind and solar
777	in the solar
587	solar and wind
464	solar panels and
386	of solar panels
360	solar system and
358	and solar power
325	solar panels on
312	the solar industry
309	in our solar
255	of our solar
223	the solar panels
222	solar system the
217	of solar power
208	total solar eclipse
206	a solar panel
193	with solar panels
184	solar panels to
183	the solar wind
182	solar power and
180	of solar energy
174	the solar energy
167	wind solar and
167	and solar panels
164	solar panels in
157	such as solar
155	a solar eclipse
151	to the solar
150	solar wind and
147	outside our solar
136	and solar energy
133	partial solar eclipse
132	solar dynamics observatory
132	solar system is
131	solar panels that
129	the solar panel
124	own solar system
124	the world solar
118	a total solar
117	for solar panels
117	outer solar system
117	our own solar
116	u s solar
113	the solar impulse
113	solar panels the
112	solar eclipse in
112	the outer solar
111	the solar system's
111	rooftop solar panels
111	of a solar
110	a solar system
109	solar system that
109	inner solar system
108	solar system in
107	solar panels are
106	the inner solar
105	for the solar
105	solar system s
100	world solar challenge
99	from the solar
99	solar energy and
95	for solar power
95	solar system but
94	solar power is
93	the solar eclipse
91	and the solar
90	solar energy industries
90	solar power in
90	a partial solar
89	solar system to
88	install solar panels
87	installing solar panels
87	solar and other
87	its solar panels
84	solar panel maker
83	cost of solar
82	to install solar
82	solar panels for
80	of solar and
79	solar power to
79	the solar power
78	by the solar
77	solar energy company
77	solar system it
76	on solar power
76	solar power plant
73	megawatts of solar
72	outside the solar
72	in solar energy
72	a solar storm
72	into the solar
72	for solar energy
71	solar energy is
71	in a solar
70	by solar panels
70	on the solar
70	through the solar
69	solar system with
69	powered by solar
69	a solar power
67	solar energy to
66	solar system was
66	in solar power
65	that the solar
65	solar eclipse is
64	price of solar
62	solar or wind
62	in solar panels
61	the largest solar
61	solar energy in
60	from solar panels
60	like solar and
60	a solar energy
59	solar panels or
59	solar panels at
58	solar power plants
58	wind or solar
58	for solar and
57	nasa's solar dynamics
57	with the solar
57	with a solar
56	as solar and
56	a solar flare
56	beyond our solar
55	the solar and
54	s solar industry
54	early solar system
54	solar system for
54	solar system as
53	solar eclipse will
53	solar cells and
53	solar power the
53	beyond the solar
53	solar system formed
52	solar panels have
52	solar panels which
52	use of solar
52	turbines and solar
51	of rooftop solar
51	the early solar
51	of solar cells
50	solar industry is
50	as the solar
49	and solar and
49	for a solar
49	and a solar
48	on solar panels
48	to make solar
48	solar panel company
47	solar panels installed
47	at the solar
47	to solar power
47	sources like solar
47	annular solar eclipse
46	first solar fslr
46	our solar system's
46	the solar cells
46	solar system a
45	solar energy systems
45	and solar farms
44	solar panels as
44	in solar and
43	about the solar
43	solar system are
43	installed solar panels
42	gigawatts of solar
41	how the solar
41	solar panel makers
41	a new solar
40	the solar sector
40	chinese solar panel
40	solar energy industry
40	on solar energy
40	with solar power
40	a solar array
40	during a solar
40	s solar panels
40	put solar panels
39	across the solar
39	solar system said
39	of its solar
39	solar panels were
39	amount of solar
39	solar cells that
39	solar system where
38	like solar panels
38	to buy solar
38	solar panels but
38	solar power has
38	solar power systems
38	solar panels a
38	solar panels from
38	solar impulse s
38	solar and heliospheric
37	solar and geothermal
37	solar system on
37	solar energy the
37	to go solar
37	solar system has
37	solar system from
36	a solar company
36	solar panel manufacturers
36	the total solar
36	have solar panels
36	from a solar
36	left the solar
36	the solar company
36	solar impulse is
36	solar panel manufacturer
35	solar panels will
35	a massive solar
35	by solar energy
35	a solar farm
35	solar panels is
35	solar system which
35	solar eclipse on
34	and first solar
34	solar flares and
34	the solar dynamics
34	rooftop solar systems
34	solar power for
34	solar power from
34	solar system we
34	of solar system
33	as solar panels
33	s largest solar
33	with solar energy
33	other solar systems
33	solar power company
32	market for solar
32	said the solar
32	solar industry has
32	to a solar
32	the solar storm
32	solar challenge on
32	world solar challange
31	on chinese solar
31	solar power as
31	a solar cell
31	chinese solar panels
31	when the solar
31	of wind solar
31	throughout the solar
31	of solar impulse
31	solar eclipse swept
30	solar is a
30	that solar power
30	the new solar
30	with solar cells
29	solar power are
29	solar panels it
29	solar power system
29	solar panel on
29	is a solar
29	solar panel and
29	the first solar
29	as a solar
29	solar system including
29	or solar panels
29	rare solar eclipse
29	the solar array
28	solar hot water
28	solar farm in
28	solar panels with
28	solar in the
28	solar system or
28	solar projects in
28	to put solar
28	solar energy that
28	solar panels can
28	around the solar
28	more than solar
28	the solar arrays
28	solar cells are
28	has solar panels
28	solar eclipse as
27	and solar projects
27	of solar wind
27	or solar power
27	and solar are
27	subsidies for solar
27	set of solar
27	to solar energy
27	solar power but
27	solar system this
27	solar challenge a
27	the rooftop solar
27	the partial solar
27	solar system he
26	electricity from solar
26	solar thermal power
26	solar power by
26	solar company solyndra
26	to build solar
26	incentives for solar
26	solar system have
26	the american solar
26	to use solar
26	investment in solar
26	using solar power
26	solar company that
26	solar water heaters
26	solar plant in
25	solar system by
25	solar panel industry
25	solar panel owners
25	solar panels has
25	make solar panels
25	solar power industry
25	concentrating solar power
25	from solar power
25	invest in solar
25	solar and nuclear
25	solar energy has
